Systematic names;Uniprot_ID;Mitochondrion [GO:0005739];Mitochondrial outer membrane [GO:0005741];Mitochondrial intermembrane space [GO:0005758];Mitochondrial inner membrane [GO:0005743];Mitochondrial matrix [GO:0005759];Cytosol [GO:0005829];"ER & Golgi
[GO:0005783]
[GO:0005794]";Nucleus [GO:0005634];Plasma membrane [GO:0005886];Vacuole [GO:0005773];Peroxisome [GO:0005777]
YGR101W;P53259;1;;;1;;;;;;;
YDL142C;Q07560;1;;;1;;;;;;;
YLR188W;P33310;1;;;1;;;;;;1;
YOL114C;Q12322;1;;;;1;;;;;;
YGR062C;P53239;1;;;1;;;;;;;
YIL087C;P40502;1;;;;;;;;;;
YBL039W-B;P0C268;;;;;;;;;;;1
YGR096W;P53257;1;;;1;;;;;;;
YMR301C;P40416;1;;;1;;;;;;;
YAL008W;P18411;1;1;;;;;;;;;
YHR189W;P38876;1;;;;;;;;;;
YNR041C;P32378;1;;;1;;;;;;;
YER141W;P40086;1;;;1;;;;;;;
YER053C;P40035;1;;;1;;;;;;;
YOR334W;Q01926;1;;;1;;;;;;;
YKL023C-A;Q2V2P3;;;;;;;;;;;
Q0070;Q9ZZX1;1;;;;;;;;;;
YOL008W;Q08058;1;;;1;;;;;;;
YNR018W;P53721;1;;;1;;;;;;;
YDR125C;Q04623;1;;;;;;;;;;
YOR330C;P15801;1;;;;1;;;;;;
YBR047W;P38231;1;;;;;;;;;;
YDL085W;Q07500;1;;1;;;;;;;;
YOR125C;P41735;1;;;1;;;;;;;
YNL211C;P53869;1;;;;;;;;;;
YOR305W;Q08774;1;;;;;;;;;;
YPL270W;P33311;1;;;1;;;;;;1;
YPR061C;Q12350;1;;;;;;;;;;
YML091C;Q02773;1;;;;1;;;1;;;
YPR151C;Q06524;1;;;;;;;;;;
YLR165C;Q06244;1;;;;;;;;;;
YPR010C-A;A5Z2X5;;;;;;1;;;;;
YBR122C;P36531;1;;;;1;;;;;;
YPL148C;Q12036;1;;;;;;;;;;
YDL069C;P14066;1;;;1;1;;;;;;
YCR046C;P25626;1;;;;1;;;;;;
YMR150C;P28627;1;;;1;;;;;;;
YDL130W-A;P01098;1;;;;;;;;;;
YHR162W;P38857;1;;;1;;;;;;;
YER153C;P10355;1;;;1;;;;;;;
YMR097C;Q03151;1;;;1;;;;1;;;
YPL107W;Q02873;1;;;;;;;;;;
YPL041C;Q03079;1;1;;;;;;;;;
YGR243W;P53311;1;;;1;;;;;;;
YPL252C;Q12184;1;;;;1;;;;;;
YEL059C-A;Q05676;1;;;1;;;;;;;
YDL027C;Q07349;1;;;;;;1;;;;
YDR336W;Q05473;1;;;;;;;;;;
YJL147C;P47007;1;;;;;;;;;;
YPR067W;Q12425;1;;;;1;;;;;;
YDR119W-A;Q2V2P9;1;;;1;;;;;;;
YNR020C;P53722;1;;1;1;;;;;;;
YPL040C;P48526;1;;;;1;1;;;;;
YLL033W;Q07843;;;;;;;;;;;
YBL022C;P36775;1;;;;1;;;;;;
YLR251W;Q06563;1;;;1;;;;;;;
YJL063C;P22353;1;;;;1;;;;;;
YER170W;P26364;1;;;1;1;;;;;;
YPL168W;Q12467;1;;;;;;;;;;
YER093C-A;P87275;1;;;;;;;;;;
YPL098C;Q02889;1;;;1;;;;;;;
YKL055C;P35731;1;;;;;;;;;;
YMR035W;P46972;1;;;1;;;;;;;
YJL161W;P46998;1;;;;;;;;;;
YGR102C;P53260;1;;;1;;;;;;;
YLR281C;Q05863;1;;;;1;;;;;;
YGR147C;P37293;1;;;;;;;;;;
YLR139C;P42900;1;;;1;1;;;;;;
YLR067C;P32522;1;;;1;;;;;;;
YDL177C;Q12257;;;;;;;;;;;
YGL256W;P10127;1;;;;;1;;;;;
YBR255C-A;Q3E776;;;;;;;;;;;
YER183C;P40099;1;;;;;;;;;;
Q0085;P00854;1;;;1;;;;;;;
YML030W;Q03713;1;;;1;;;;;;;
YNL213C;P40156;1;;;;;;;1;;;
YBR185C;P38300;1;;;1;;;;;;;
YHR120W;P25846;1;;;;;;;;;;
YGR150C;P48237;1;;;;;;;;;;
YMR003W;Q03673;1;;;;;;;;;;
YNR040W;P53736;1;;;;;;;;;;
YBL059W;P34224;1;;;;;;;;;;
YGR257C;P53320;1;;;1;;;;;;;
Q0065;P03878;1;;;;;;;;;;
YOL077W-A;P81451;1;;;1;;;;;;;
YDL045W-A;O75012;1;;;;1;;;;;;
YMR293C;Q03557;1;;;1;;;;;;;
YJL062W-A;Q3E7B2;1;;;1;;;;;;;
YMR158W;Q03799;1;;;;1;;;;;;
YDL217C;Q12328;1;;;1;;;;;;;
YER087W;P39965;1;;;;;;;;;;
YOR297C;Q08749;1;;;1;;;;;;;
YLR382C;P11325;1;;;;1;1;;;;;
YDR197W;P14905;1;;;1;1;;;;;;
YPR116W;Q06109;1;;;;;;;;;;
YHR002W;P38702;1;;;1;;;;;;;
YGR183C;P22289;1;;;1;;;;;;;
YDL202W;P36521;1;;;;1;;;;;;
YDR079W;P38958;1;;;1;;;;;;;
YOR150W;Q12487;1;;;;1;;;;;1;
YLL027W;Q07821;1;;;;1;;;;;;
YHL012W;P38709;;;;;;;;;;;
YMR072W;Q02486;1;;;;1;;;1;;;
Q0120;P03879;1;;;;;;;;;;
YER154W;P39952;1;;;1;1;;;;;;
YBR104W;P38087;1;;;1;;;;;;;
YDR204W;O13525;1;;;1;;;;;;;
YHR147C;P32904;1;;;;1;;;;;;
YPR134W;P08593;1;;;;;;;;;;
YNL295W;P48564;1;;;;;;;;;;
YMR187C;Q03236;;;;;;;;;;;
YGL068W;P53163;1;;;;1;;;;;;
Q0045;P00401;1;;;1;;;;;;;
YJR100C;P47140;1;;;;;;;;;;
YDR178W;P37298;1;;;1;;;;;;;
YDR234W;P49367;1;;;;;;;;;;
YNL284C;P36520;1;;;;1;;;;;;
YGL041W-A;P0C5N3;1;;;;;;;;;;
YCR003W;P25348;1;;;1;1;;;;;;
YGR235C;P50087;1;;;1;;;;;;;
YOR022C;Q12204;1;;;;;;;;;;
YOR017W;P32606;1;;;;;;;;;;
YLR201C;Q05779;1;;;1;;;;;;;
YOR215C;Q12032;1;;;;;;;;;;
YNL100W;P50945;1;;;1;;;;;;1;
YKL141W;P33421;1;;;1;;;;;;;
YMR066W;Q04748;1;;;;;;;;;;
YDL181W;P01097;1;;;;;;;;;;
YDL067C;P07255;1;;;1;;;;;;;
YKR085C;P22354;1;;;;1;;;;;;
YNL168C;P53889;1;;;;;;;;;;
YNL185C;P53875;1;;;;1;;;;;;
YDR512C;Q04406;;;;;;;;;;;
YKL138C;P14063;1;;;;1;;;;;;
YEL050C;P32611;1;;;;1;;;;;;
YNL310C;P42844;1;;;1;1;;;;;;
YBR227C;P38323;1;;;1;1;;;;;;
YFL046W;P43557;1;;;;;;;;;;
YKL162C;P36052;1;;;;;;;;;;
YCL057C-A;Q96VH5;1;;;1;;;;;;;
YGR021W;P53212;1;;;;;;;;;;
YKL011C;Q03702;1;;;1;;;;;;;
YLR395C;P04039;1;;;1;;;;;;;
YJL143W;P39515;1;;;1;;;;;;;
YNL306W;P42847;1;;;;1;;;;;;
YGL057C;P53171;1;;;;;;;;;;
YHR038W;P38771;1;;;;;;;;;;
YJR113C;P47150;1;;;;1;;;;;;
YDR286C;Q05530;;;;;;;;;;;
YKR049C;P36141;1;;;;;;;;;;
YIL111W;P00425;1;;;1;;;;;;;
YPL135W;Q03020;1;;;;1;;;;;;
YJL003W;P47081;1;;;1;;;;;;;
YLR091W;Q12393;1;;;;;;;;;;
YDR296W;Q06630;1;;;;1;;;1;;;
YHR059W;P38783;1;;;;;;;;;;
YDR493W;Q03429;1;;;;1;;;;;;
YER058W;Q02771;1;;;;;;;;;;
YBR003W;P18900;1;;;1;;;;;;;
YDR379C-A;Q3E785;1;;;;1;;;;;;
YOR232W;P38523;1;;;1;1;;;;;;
YGL191W;P32799;1;;;1;;;;;;;
YKL040C;P32860;1;;;;1;;;;;;
YBL038W;P38064;1;;;;1;;;;;;
YKL170W;P35996;1;;;;1;1;;;;;
YPR100W;Q06090;1;;;;1;;;;;;
YDL104C;P43122;1;;;;;;;;;;
YHR067W;P38790;1;;;;;;;;;;
YNL328C;P42834;1;;;1;;;;;;;
YGR171C;P22438;1;;;;1;1;;;;;
YBR084W;P09440;1;;;;;1;;;;;
YML050W;Q04689;;;;;;;;;;;
YOR286W;Q08742;1;;;;;;;;;;
YGR286C;P32451;1;;;;;;;;;;
YDR041W;Q03201;1;;;;1;;;;;;
YMR286W;P20084;1;;;;1;;;;;;
YOR205C;Q08622;1;;;1;;1;;;;;
YOL071W;Q08230;1;;;;1;;;;;;
YJL096W;P40858;1;;;;1;;;;;;
YLR069C;P25039;1;;;;;1;;;;;
Q0050;P03875;1;;;;;;;;;;
YDR376W;P48360;1;;;1;1;;;;;;
YER182W;P40098;1;;;;;;;;;;
YJL023C;P47065;1;;;;1;;;;;;
YDR065W;Q12167;1;;;;;;;;;;
YIL157C;P40452;1;;;1;;;;;;;
YDR511W;Q04401;1;;1;;1;;;;;;
YMR225C;P19956;1;;;;1;;;;;;
YBR176W;P38122;1;;;;;;;;;;
YDR337W;P21771;1;;;;1;;;;;;
YMR241W;Q04013;1;;;1;1;;;;;;
YDR322C-A;P81449;1;;;1;;;;;;;
YNL177C;P53881;1;;;;1;;;;;;
YDL044C;P10849;1;;;;1;;;;;;
YKL120W;P32332;1;;;1;;;;;;;
YBR120C;P07253;1;;;;1;;;;;;
YPR047W;P08425;1;;;;1;;;;;;
YJL104W;P42949;1;;;1;;;;;;;
YMR256C;P10174;1;;;1;;;;;;;
YDL157C;Q12082;1;;;;;;;;;;
YNR022C;P53724;1;;;;1;;;;;;
YGR033C;P53220;1;;;1;;;;;;;
YDL119C;Q07534;1;;;1;;;;;;;
YOR266W;P38969;1;;;1;;;;;;;
YNR036C;P53732;1;;;;1;;;;;;
YOR271C;Q12029;1;;;;;;;;;;
YER061C;P39525;1;;;;;;;;;;
YDR405W;P32387;1;;;;1;;;;;;
Q0110;P03873;1;;;1;;;;;;;
YKL106W;Q01802;1;;;;1;;;;;;
YLR312W-A;P36523;1;;;;1;;;;;;
YDR377W;Q06405;1;;;1;;;;;;;
YGL136C;P53123;1;;;;;;;;;;
YJL102W;P39677;1;;;;;1;;;;;
YHR011W;P38705;1;;;;1;;;;;;
YMR228W;P14908;1;;1;;1;;;;;;
YPL029W;P32580;1;;;;1;;;;;;
YFR049W;P19955;1;;;;1;;;;;;
YIL098C;P40491;1;;;;1;;;;;;
YKR070W;P36151;1;;;;;;;;;;
YER050C;P40033;1;;;;1;1;;;;;
YBR037C;P23833;1;;;1;;;;;;;
YMR302C;P32843;1;;;1;;;;;;;
YJL071W;P40360;1;;;;1;;;;;;
YOR196C;P32875;1;;;;;;;;;;
YBR146W;P38120;1;;;;1;;;;;;
YHR194W;P38880;1;;;1;;;;1;;;
YPL005W;Q12089;1;;;1;;;;;;;
Q0105;P00163;1;;;1;;;;;;;
YHR091C;P38714;1;;;;1;;;;;;
