Systematic names;Uniprot_ID;Mitochondrial outer membrane [GO:0005741];Mitochondrial intermembrane space [GO:0005758];Mitochondrial inner membrane [GO:0005743];Mitochondrial matrix [GO:0005759];Cytosol [GO:0005829];"ER & Golgi
[GO:0005783]
[GO:0005794]";Nucleus [GO:0005634];Plasma membrane [GO:0005886];Vacuole [GO:0005773];Peroxisome [GO:0005777];Gene Systematic Name
YGR101W;P53259;;;1.0;;;;;;;;YGR101W
YDL142C;Q07560;;;1.0;;;;;;;;YDL142C
YLR188W;P33310;;;1.0;;;;;;1.0;;YLR188W
YOL114C;Q12322;;;;1.0;;;;;;;YOL114C
YGR062C;P53239;;;1.0;;;;;;;;YGR062C
YIL087C;P40502;;;;;;;;;;;YIL087C
YBL039W-B;P0C268;;;;;;;;;;1.0;YBL039W-B
YGR096W;P53257;;;1.0;;;;;;;;YGR096W
YMR301C;P40416;;;1.0;;;;;;;;YMR301C
YAL008W;P18411;1.0;;;;;;;;;;YAL008W
YHR189W;P38876;;;;;;;;;;;YHR189W
YNR041C;P32378;;;1.0;;;;;;;;YNR041C
YER141W;P40086;;;1.0;;;;;;;;YER141W
YER053C;P40035;;;1.0;;;;;;;;YER053C
YOR334W;Q01926;;;1.0;;;;;;;;YOR334W
YKL023C-A;Q2V2P3;;;;;;;;;;;YKL023C-A
Q0070;Q9ZZX1;;;;;;;;;;;Q0070
YOL008W;Q08058;;;1.0;;;;;;;;YOL008W
YNR018W;P53721;;;1.0;;;;;;;;YNR018W
YDR125C;Q04623;;;;;;;;;;;YDR125C
YOR330C;P15801;;;;1.0;;;;;;;YOR330C
YBR047W;P38231;;;;;;;;;;;YBR047W
YDL085W;Q07500;;1.0;;;;;;;;;YDL085W
YOR125C;P41735;;;1.0;;;;;;;;YOR125C
YNL211C;P53869;;;;;;;;;;;YNL211C
YOR305W;Q08774;;;;;;;;;;;YOR305W
YPL270W;P33311;;;1.0;;;;;;1.0;;YPL270W
YPR061C;Q12350;;;;;;;;;;;YPR061C
YML091C;Q02773;;;;1.0;;;1.0;;;;YML091C
YPR151C;Q06524;;;;;;;;;;;YPR151C
YLR165C;Q06244;;;;;;;;;;;YLR165C
YPR010C-A;A5Z2X5;;;;;1.0;;;;;;YPR010C-A
YBR122C;P36531;;;;1.0;;;;;;;YBR122C
YPL148C;Q12036;;;;;;;;;;;YPL148C
YDL069C;P14066;;;1.0;1.0;;;;;;;YDL069C
YCR046C;P25626;;;;1.0;;;;;;;YCR046C
YMR150C;P28627;;;1.0;;;;;;;;YMR150C
YDL130W-A;P01098;;;;;;;;;;;YDL130W-A
YHR162W;P38857;;;1.0;;;;;;;;YHR162W
YER153C;P10355;;;1.0;;;;;;;;YER153C
YMR097C;Q03151;;;1.0;;;;1.0;;;;YMR097C
YPL107W;Q02873;;;;;;;;;;;YPL107W
YPL041C;Q03079;1.0;;;;;;;;;;YPL041C
YGR243W;P53311;;;1.0;;;;;;;;YGR243W
YPL252C;Q12184;;;;1.0;;;;;;;YPL252C
YEL059C-A;Q05676;;;1.0;;;;;;;;YEL059C-A
YDL027C;Q07349;;;;;;1.0;;;;;YDL027C
YDR336W;Q05473;;;;;;;;;;;YDR336W
YJL147C;P47007;;;;;;;;;;;YJL147C
YPR067W;Q12425;;;;1.0;;;;;;;YPR067W
YDR119W-A;Q2V2P9;;;1.0;;;;;;;;YDR119W-A
YNR020C;P53722;;1.0;1.0;;;;;;;;YNR020C
YPL040C;P48526;;;;1.0;1.0;;;;;;YPL040C
YLL033W;Q07843;;;;;;;;;;;YLL033W
YBL022C;P36775;;;;1.0;;;;;;;YBL022C
YLR251W;Q06563;;;1.0;;;;;;;;YLR251W
YJL063C;P22353;;;;1.0;;;;;;;YJL063C
YER170W;P26364;;;1.0;1.0;;;;;;;YER170W
YPL168W;Q12467;;;;;;;;;;;YPL168W
YER093C-A;P87275;;;;;;;;;;;YER093C-A
YPL098C;Q02889;;;1.0;;;;;;;;YPL098C
YKL055C;P35731;;;;;;;;;;;YKL055C
YMR035W;P46972;;;1.0;;;;;;;;YMR035W
YJL161W;P46998;;;;;;;;;;;YJL161W
YGR102C;P53260;;;1.0;;;;;;;;YGR102C
YLR281C;Q05863;;;;1.0;;;;;;;YLR281C
YGR147C;P37293;;;;;;;;;;;YGR147C
YLR139C;P42900;;;1.0;1.0;;;;;;;YLR139C
YLR067C;P32522;;;1.0;;;;;;;;YLR067C
YDL177C;Q12257;;;;;;;;;;;YDL177C
YGL256W;P10127;;;;;1.0;;;;;;YGL256W
YBR255C-A;Q3E776;;;;;;;;;;;YBR255C-A
YER183C;P40099;;;;;;;;;;;YER183C
Q0085;P00854;;;1.0;;;;;;;;Q0085
YML030W;Q03713;;;1.0;;;;;;;;YML030W
YNL213C;P40156;;;;;;;1.0;;;;YNL213C
YBR185C;P38300;;;1.0;;;;;;;;YBR185C
YHR120W;P25846;;;;;;;;;;;YHR120W
YGR150C;P48237;;;;;;;;;;;YGR150C
YMR003W;Q03673;;;;;;;;;;;YMR003W
YNR040W;P53736;;;;;;;;;;;YNR040W
YBL059W;P34224;;;;;;;;;;;YBL059W
YGR257C;P53320;;;1.0;;;;;;;;YGR257C
Q0065;P03878;;;;;;;;;;;Q0065
YOL077W-A;P81451;;;1.0;;;;;;;;YOL077W-A
YDL045W-A;O75012;;;;1.0;;;;;;;YDL045W-A
YMR293C;Q03557;;;1.0;;;;;;;;YMR293C
YJL062W-A;Q3E7B2;;;1.0;;;;;;;;YJL062W-A
YMR158W;Q03799;;;;1.0;;;;;;;YMR158W
YDL217C;Q12328;;;1.0;;;;;;;;YDL217C
YER087W;P39965;;;;;;;;;;;YER087W
YOR297C;Q08749;;;1.0;;;;;;;;YOR297C
YLR382C;P11325;;;;1.0;1.0;;;;;;YLR382C
YDR197W;P14905;;;1.0;1.0;;;;;;;YDR197W
YPR116W;Q06109;;;;;;;;;;;YPR116W
YHR002W;P38702;;;1.0;;;;;;;;YHR002W
YGR183C;P22289;;;1.0;;;;;;;;YGR183C
YDL202W;P36521;;;;1.0;;;;;;;YDL202W
YDR079W;P38958;;;1.0;;;;;;;;YDR079W
YOR150W;Q12487;;;;1.0;;;;;1.0;;YOR150W
YLL027W;Q07821;;;;1.0;;;;;;;YLL027W
YHL012W;P38709;;;;;;;;;;;YHL012W
YMR072W;Q02486;;;;1.0;;;1.0;;;;YMR072W
Q0120;P03879;;;;;;;;;;;Q0120
YER154W;P39952;;;1.0;1.0;;;;;;;YER154W
YBR104W;P38087;;;1.0;;;;;;;;YBR104W
YDR204W;O13525;;;1.0;;;;;;;;YDR204W
YHR147C;P32904;;;;1.0;;;;;;;YHR147C
YPR134W;P08593;;;;;;;;;;;YPR134W
YNL295W;P48564;;;;;;;;;;;YNL295W
YMR187C;Q03236;;;;;;;;;;;YMR187C
YGL068W;P53163;;;;1.0;;;;;;;YGL068W
Q0045;P00401;;;1.0;;;;;;;;Q0045
YJR100C;P47140;;;;;;;;;;;YJR100C
YDR178W;P37298;;;1.0;;;;;;;;YDR178W
YDR234W;P49367;;;;;;;;;;;YDR234W
YNL284C;P36520;;;;1.0;;;;;;;YNL284C
YGL041W-A;P0C5N3;;;;;;;;;;;YGL041W-A
YCR003W;P25348;;;1.0;1.0;;;;;;;YCR003W
YGR235C;P50087;;;1.0;;;;;;;;YGR235C
YOR022C;Q12204;;;;;;;;;;;YOR022C
YOR017W;P32606;;;;;;;;;;;YOR017W
YLR201C;Q05779;;;1.0;;;;;;;;YLR201C
YOR215C;Q12032;;;;;;;;;;;YOR215C
YNL100W;P50945;;;1.0;;;;;;1.0;;YNL100W
YKL141W;P33421;;;1.0;;;;;;;;YKL141W
YMR066W;Q04748;;;;;;;;;;;YMR066W
YDL181W;P01097;;;;;;;;;;;YDL181W
YDL067C;P07255;;;1.0;;;;;;;;YDL067C
YKR085C;P22354;;;;1.0;;;;;;;YKR085C
YNL168C;P53889;;;;;;;;;;;YNL168C
YNL185C;P53875;;;;1.0;;;;;;;YNL185C
YDR512C;Q04406;;;;;;;;;;;YDR512C
YKL138C;P14063;;;;1.0;;;;;;;YKL138C
YEL050C;P32611;;;;1.0;;;;;;;YEL050C
YNL310C;P42844;;;1.0;1.0;;;;;;;YNL310C
YBR227C;P38323;;;1.0;1.0;;;;;;;YBR227C
YFL046W;P43557;;;;;;;;;;;YFL046W
YKL162C;P36052;;;;;;;;;;;YKL162C
YCL057C-A;Q96VH5;;;1.0;;;;;;;;YCL057C-A
YGR021W;P53212;;;;;;;;;;;YGR021W
YKL011C;Q03702;;;1.0;;;;;;;;YKL011C
YLR395C;P04039;;;1.0;;;;;;;;YLR395C
YJL143W;P39515;;;1.0;;;;;;;;YJL143W
YNL306W;P42847;;;;1.0;;;;;;;YNL306W
YGL057C;P53171;;;;;;;;;;;YGL057C
YHR038W;P38771;;;;;;;;;;;YHR038W
YJR113C;P47150;;;;1.0;;;;;;;YJR113C
YDR286C;Q05530;;;;;;;;;;;YDR286C
YKR049C;P36141;;;;;;;;;;;YKR049C
YIL111W;P00425;;;1.0;;;;;;;;YIL111W
YPL135W;Q03020;;;;1.0;;;;;;;YPL135W
YJL003W;P47081;;;1.0;;;;;;;;YJL003W
YLR091W;Q12393;;;;;;;;;;;YLR091W
YDR296W;Q06630;;;;1.0;;;1.0;;;;YDR296W
YHR059W;P38783;;;;;;;;;;;YHR059W
YDR493W;Q03429;;;;1.0;;;;;;;YDR493W
YER058W;Q02771;;;;;;;;;;;YER058W
YBR003W;P18900;;;1.0;;;;;;;;YBR003W
YDR379C-A;Q3E785;;;;1.0;;;;;;;YDR379C-A
YOR232W;P38523;;;1.0;1.0;;;;;;;YOR232W
YGL191W;P32799;;;1.0;;;;;;;;YGL191W
YKL040C;P32860;;;;1.0;;;;;;;YKL040C
YBL038W;P38064;;;;1.0;;;;;;;YBL038W
YKL170W;P35996;;;;1.0;1.0;;;;;;YKL170W
YPR100W;Q06090;;;;1.0;;;;;;;YPR100W
YDL104C;P43122;;;;;;;;;;;YDL104C
YHR067W;P38790;;;;;;;;;;;YHR067W
YNL328C;P42834;;;1.0;;;;;;;;YNL328C
YGR171C;P22438;;;;1.0;1.0;;;;;;YGR171C
YBR084W;P09440;;;;;1.0;;;;;;YBR084W
YML050W;Q04689;;;;;;;;;;;YML050W
YOR286W;Q08742;;;;;;;;;;;YOR286W
YGR286C;P32451;;;;;;;;;;;YGR286C
YDR041W;Q03201;;;;1.0;;;;;;;YDR041W
YMR286W;P20084;;;;1.0;;;;;;;YMR286W
YOR205C;Q08622;;;1.0;;1.0;;;;;;YOR205C
YOL071W;Q08230;;;;1.0;;;;;;;YOL071W
YJL096W;P40858;;;;1.0;;;;;;;YJL096W
YLR069C;P25039;;;;;1.0;;;;;;YLR069C
Q0050;P03875;;;;;;;;;;;Q0050
YDR376W;P48360;;;1.0;1.0;;;;;;;YDR376W
YER182W;P40098;;;;;;;;;;;YER182W
YJL023C;P47065;;;;1.0;;;;;;;YJL023C
YDR065W;Q12167;;;;;;;;;;;YDR065W
YIL157C;P40452;;;1.0;;;;;;;;YIL157C
YDR511W;Q04401;;1.0;;1.0;;;;;;;YDR511W
YMR225C;P19956;;;;1.0;;;;;;;YMR225C
YBR176W;P38122;;;;;;;;;;;YBR176W
YDR337W;P21771;;;;1.0;;;;;;;YDR337W
YMR241W;Q04013;;;1.0;1.0;;;;;;;YMR241W
